Date,Province/State,Country/Region,adm0_a3,Lat,Long,Population,admin,r_admin,i_admin,ri_admin,Tot_admin,iTot_admin,rTot_admin,riTot_admin,full,r_full,i_full,ri_full,Tot_full,iTot_full,rTot_full,riTot_full
4/8/21,Pernambuco,Brazil,BRA,-8.8137,-36.9541,9557071.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Piaui,Brazil,BRA,-7.7183,-42.7289,3273227.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Rio Grande do Norte,Brazil,BRA,-5.4026,-36.9541,3506853.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Rio Grande do Sul,Brazil,BRA,-30.0346,-51.2177,11377239.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Rio de Janeiro,Brazil,BRA,-22.9068,-43.1729,17264943.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Rondonia,Brazil,BRA,-11.5057,-63.5806,1777225.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Roraima,Brazil,BRA,-2.7376,-62.0751,605761.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Santa Catarina,Brazil,BRA,-27.2423,-50.2189,7164788.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Sao Paulo,Brazil,BRA,-23.5505,-46.6333,45919049.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Sergipe,Brazil,BRA,-10.5741,-37.3857,2298696.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Tocantins,Brazil,BRA,-10.1753,-48.2982,1572866.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,NA,Brunei,BRN,4.5353,114.7277,437483.0,2323.0,530.9921,0.0,0.0,2323.0,0.0,530.9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Bulgaria,BGR,42.7339,25.4858,6948445.0,552516.0,7951.6496,19063.0,274.3492,552516.0,19063.0,7951.6496,274.3492,110077.0,1584.1962,2330.0,33.5327,110077.0,2330.0,1584.1962,33.5327
4/8/21,NA,Burma,MMR,21.9162,95.956,54409794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Cambodia,KHM,11.55,104.9167,16718971.0,1071260.0,6407.4518,59611.0,356.5471,1071260.0,59611.0,6407.4518,356.5471,257434.0,1539.7718,2311.0,13.8226,257434.0,2311.0,1539.7718,13.8226
4/8/21,NA,Cameroon,CMR,3.848,11.5021,26545864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Chile,CHL,-35.6751,-71.543,19116209.0,11787427.0,61661.9488,238801.0,1249.2069,11787427.0,238801.0,61661.9488,1249.2069,4508466.0,23584.5193,162588.0,850.5243,4508466.0,162588.0,23584.5193,850.5243
4/8/21,NA,China,CHN,30.5928,114.3055,1404676330.0,155150000.0,11045.2491,6079000.0,432.7687,155150000.0,6079000.0,11045.2491,432.7687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,Hong Kong,China,HKG,22.3,114.2,7496988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,Macau,China,MAC,22.1667,113.55,649342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Colombia,COL,4.5709,-74.2973,0.0,2812828.0,inf,121315.0,inf,2812828.0,121315.0,5828.7127,251.3877,640077.0,inf,97540.0,inf,640077.0,97540.0,1326.3609,202.1214
4/8/21,Amazonas,Colombia,COL,-1.4429,-71.5724,76589.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Antioquia,Colombia,COL,7.1986,-75.3412,6407102.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Arauca,Colombia,COL,7.0762,-70.7105,262174.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Atlantico,Colombia,COL,10.6966,-74.8741,2535517.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Bolivar,Colombia,COL,8.6704,-74.03,2070110.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Boyaca,Colombia,COL,5.4545,-73.362,1217376.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Caldas,Colombia,COL,5.2983,-75.2479,998255.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Capital District,Colombia,COL,4.711,-74.0721,7412566.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Caqueta,Colombia,COL,0.8699,-73.8419,401489.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Casanare,Colombia,COL,5.7589,-71.5724,420504.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Cauca,Colombia,COL,2.705,-76.826,1464488.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Cesar,Colombia,COL,9.3373,-73.6536,1200574.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Choco,Colombia,COL,5.2528,-76.826,534826.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Cordoba,Colombia,COL,8.0493,-75.574,1784783.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Cundinamarca,Colombia,COL,5.026,-74.03,2919060.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Guainia,Colombia,COL,2.5854,-68.5247,48114.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Guaviare,Colombia,COL,1.0654,-73.2603,82767.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Huila,Colombia,COL,2.5359,-75.5277,1100386.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,La Guajira,Colombia,COL,11.3548,-72.5205,880560.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Magdalena,Colombia,COL,10.4113,-74.4057,1341746.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Meta,Colombia,COL,3.272,-73.0877,1039722.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Narino,Colombia,COL,1.2892,-77.3579,1630592.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Norte de Santander,Colombia,COL,7.9463,-72.8988,1491689.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Putumayo,Colombia,COL,0.436,-75.5277,348182.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
4/8/21,Quindio,Colombia,COL,4.461,-75.6674,539904.0,0.0,0.0,0.0,0.0,2812828.0,121315.0,5828.7127,251.3877,0.0,0.0,0.0,0.0,640077.0,97540.0,1326.3609,202.1214
